(0.000000;0.236577)
(0.100000;0.070718)
(0.200000;-0.027827)
(0.300000;-0.058483)
(0.400000;-0.020440)
(0.500000;0.087350)
(0.600000;0.266189)
(0.700000;0.517641)
(0.800000;0.843553)
(0.900000;1.246069)



(0.000000;0.114853)
(0.050000;0.017314)
(0.100000;-0.063767)
(0.150000;-0.128355)
(0.200000;-0.176403)
(0.250000;-0.207851)
(0.300000;-0.222623)
(0.350000;-0.220630)
(0.400000;-0.201771)
(0.450000;-0.165928)
(0.500000;-0.112970)
(0.550000;-0.042751)
(0.600000;0.044891)
(0.650000;0.150133)
(0.700000;0.273169)
(0.750000;0.414208)
(0.800000;0.573479)
(0.850000;0.751225)
(0.900000;0.947710)
(0.950000;1.163216)



